data;
set I := 0 1 2 3 4 5 6 7 8 9;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19;
param F := 0 17581 1 10000 2 10000 3 10000 4 15339 5 14249 6 17235 7 12035 8 11953 9 11477;
param Cap := 0 1120 1 1500 2 1500 3 1500 4 1233 5 1287 6 1138 7 1398 8 1402 9 1426;
param RC := 0 551 1 575 2 559 3 510 4 553 5 522 6 546 7 517 8 579 9 523;
param OC := 0 184 1 194 2 185 3 213 4 214 5 180 6 187 7 180 8 214 9 182;
param HC := 0 2.14 1 2.03 2 2.25 3 2.11 4 2.25 5 2.3 6 2.33 7 2.0 8 2.18 9 2.24;
param LT := 0 12 1 10 2 14 3 15 4 10 5 11 6 11 7 13 8 11 9 7;
param d := 0 108 1 108 2 138 3 96 4 93 5 56 6 117 7 116 8 99 9 97 10 96 11 57 12 113 13 141 14 69 15 78 16 124 17 52 18 106 19 99;
param u := 0 50 1 42 2 38 3 45 4 27 5 43 6 31 7 37 8 41 9 30 10 28 11 42 12 43 13 39 14 29 15 40 16 36 17 34 18 43 19 42;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 76
1 0 143
2 0 111
3 0 109
4 0 68
5 0 73
6 0 60
7 0 87
8 0 94
9 0 87
0 1 73
1 1 141
2 1 117
3 1 105
4 1 65
5 1 75
6 1 67
7 1 92
8 1 101
9 1 90
0 2 69
1 2 143
2 2 122
3 2 106
4 2 67
5 2 79
6 2 71
7 2 96
8 2 105
9 2 94
0 3 59
1 3 164
2 3 123
3 3 128
4 3 88
5 3 93
6 3 73
7 3 102
8 3 95
9 3 107
0 4 66
1 4 169
2 4 116
3 4 134
4 4 93
5 4 92
6 4 67
7 4 96
8 4 84
9 4 107
0 5 59
1 5 151
2 5 129
3 5 113
4 5 75
5 5 89
6 5 79
7 5 105
8 5 109
9 5 103
0 6 65
1 6 160
2 6 117
3 6 124
4 6 84
5 6 87
6 6 67
7 6 96
8 6 91
9 6 102
0 7 70
1 7 152
2 7 114
3 7 117
4 7 77
5 7 80
6 7 63
7 7 91
8 7 92
9 7 95
0 8 80
1 8 160
2 8 101
3 8 128
4 8 86
5 8 79
6 8 52
7 8 81
8 8 74
9 8 93
0 9 61
1 9 155
2 9 123
3 9 118
4 9 79
5 9 87
6 9 73
7 9 100
8 9 100
9 9 102
0 10 70
1 10 136
2 10 128
3 10 98
4 10 61
5 10 80
6 10 78
7 10 102
8 10 115
9 10 94
0 11 67
1 11 149
2 11 118
3 11 113
4 11 74
5 11 81
6 11 68
7 11 95
8 11 98
9 11 96
0 12 57
1 12 159
2 12 127
3 12 121
4 12 83
5 12 92
6 12 77
7 12 104
8 12 102
9 12 107
0 13 73
1 13 147
2 13 113
3 13 112
4 13 71
5 13 76
6 13 62
7 13 89
8 13 94
9 13 91
0 14 78
1 14 156
2 14 104
3 14 123
4 14 81
5 14 77
6 14 54
7 14 83
8 14 80
9 14 92
0 15 75
1 15 147
2 15 109
3 15 113
4 15 72
5 15 74
6 15 59
7 15 86
8 15 90
9 15 89
0 16 77
1 16 135
2 16 117
3 16 98
4 16 59
5 16 71
6 16 67
7 16 91
8 16 105
9 16 86
0 17 51
1 17 157
2 17 137
3 17 118
4 17 82
5 17 97
6 17 87
7 17 113
8 17 114
9 17 112
0 18 41
1 18 178
2 18 140
3 18 140
4 18 103
5 18 111
6 18 90
7 18 120
8 18 106
9 18 126
0 19 42
1 19 169
2 19 141
3 19 130
4 19 94
5 19 106
6 19 91
7 19 119
8 19 112
9 19 121
;
