data;
set I := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29;
param F := 0 18016 1 40931 2 21542 3 15338 4 32197 5 39964 6 33718 7 33519 8 21605 9 33820 10 25408 11 32157 12 39368 13 19746 14 29591;
param Cap := 0 520 1 1363 2 760 3 810 4 979 5 1175 6 1282 7 513 8 840 9 1112 10 609 11 1041 12 748 13 1073 14 1087;
param RC := 0 555 1 561 2 519 3 528 4 568 5 520 6 503 7 556 8 571 9 580 10 558 11 569 12 592 13 525 14 510;
param OC := 0 209 1 205 2 188 3 188 4 213 5 219 6 200 7 211 8 194 9 216 10 206 11 185 12 204 13 215 14 209;
param HC := 0 2.09 1 2.28 2 2.11 3 2.09 4 2.12 5 2.01 6 2.08 7 2.32 8 2.11 9 2.15 10 2.34 11 2.11 12 2.11 13 2.3 14 2.16;
param LT := 0 15 1 8 2 6 3 15 4 15 5 14 6 12 7 8 8 7 9 6 10 6 11 14 12 8 13 13 14 14;
param d := 0 88 1 129 2 101 3 57 4 102 5 93 6 146 7 68 8 101 9 74 10 35 11 36 12 93 13 49 14 144 15 107 16 35 17 69 18 99 19 86 20 67 21 95 22 88 23 120 24 75 25 118 26 93 27 68 28 72 29 51;
param u := 0 36 1 34 2 35 3 39 4 39 5 25 6 45 7 48 8 45 9 50 10 38 11 31 12 25 13 49 14 28 15 31 16 43 17 34 18 25 19 49 20 43 21 37 22 27 23 46 24 43 25 31 26 26 27 35 28 48 29 27;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 38
1 0 158
2 0 64
3 0 146
4 0 156
5 0 95
6 0 185
7 0 129
8 0 163
9 0 159
10 0 191
11 0 189
12 0 134
13 0 124
14 0 120
0 1 159
1 1 40
2 1 159
3 1 51
4 1 42
5 1 108
6 1 57
7 1 150
8 1 159
9 1 48
10 1 52
11 1 89
12 1 173
13 1 128
14 1 126
0 2 144
1 2 58
2 2 127
3 2 61
4 2 34
5 2 81
6 2 99
7 2 103
8 2 108
9 2 21
10 2 97
11 2 129
12 2 125
13 2 83
14 2 83
0 3 141
1 3 120
2 3 97
3 3 116
4 3 95
5 3 82
6 3 166
7 3 40
8 3 34
9 3 82
10 3 165
11 3 193
12 3 57
13 3 37
14 3 41
0 4 151
1 4 135
2 4 104
3 4 130
4 4 110
5 4 95
6 4 180
7 4 41
8 4 22
9 4 96
10 4 180
11 4 208
12 4 53
13 4 45
14 4 50
0 5 35
1 5 109
2 5 88
3 5 97
4 5 116
5 5 77
6 5 125
7 5 142
8 5 175
9 5 124
10 5 132
11 5 124
12 5 157
13 5 127
14 5 122
0 6 129
1 6 126
2 6 81
3 6 120
4 6 103
5 6 75
6 6 172
7 6 20
8 6 27
9 6 91
10 6 173
11 6 198
12 6 38
13 6 24
14 6 29
0 7 50
1 7 88
2 7 42
3 7 76
4 7 80
5 7 15
6 7 126
7 7 78
8 7 109
9 7 81
10 7 130
11 7 141
12 7 95
13 7 61
14 7 56
0 8 161
1 8 96
2 8 130
3 8 97
4 8 71
5 8 96
6 8 138
7 8 87
8 8 81
9 8 56
10 8 135
11 8 168
12 8 106
13 8 74
14 8 76
0 9 96
1 9 63
2 9 131
3 9 57
4 9 83
5 9 92
6 9 60
7 9 163
8 9 190
9 9 97
10 9 67
11 9 57
12 9 184
13 9 142
14 9 138
0 10 179
1 10 61
2 10 189
3 10 73
