data;
set I := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24;
set J := 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49;
param F := 0 36081 1 26164 2 26070 3 26264 4 32930 5 16047 6 27505 7 27348 8 18318 9 22595 10 20701 11 24465 12 38198 13 30102 14 34538 15 21863 16 32474 17 40067 18 15236 19 25595 20 23761 21 29133 22 26807 23 41362 24 17405;
param Cap := 0 1300 1 1307 2 1127 3 868 4 979 5 1276 6 626 7 882 8 650 9 887 10 1114 11 705 12 937 13 1241 14 1412 15 1351 16 873 17 823 18 553 19 791 20 978 21 794 22 1495 23 718 24 911;
param RC := 0 506 1 514 2 521 3 571 4 529 5 526 6 565 7 549 8 502 9 507 10 564 11 564 12 517 13 597 14 550 15 535 16 569 17 595 18 508 19 572 20 548 21 522 22 597 23 567 24 593;
param OC := 0 208 1 215 2 193 3 220 4 209 5 204 6 194 7 204 8 182 9 184 10 206 11 204 12 187 13 182 14 186 15 209 16 208 17 198 18 220 19 206 20 216 21 214 22 187 23 200 24 190;
param HC := 0 2.04 1 2.32 2 2.01 3 2.15 4 2.11 5 2.03 6 2.05 7 2.2 8 2.01 9 2.27 10 2.19 11 2.24 12 2.1 13 2.36 14 2.33 15 2.18 16 2.13 17 2.34 18 2.06 19 2.34 20 2.13 21 2.09 22 2.36 23 2.15 24 2.03;
param LT := 0 8 1 7 2 10 3 6 4 15 5 11 6 10 7 7 8 13 9 8 10 15 11 7 12 10 13 13 14 14 15 11 16 14 17 15 18 13 19 13 20 12 21 12 22 12 23 6 24 9;
param d := 0 55 1 114 2 60 3 118 4 82 5 86 6 51 7 62 8 99 9 110 10 148 11 82 12 112 13 111 14 94 15 62 16 74 17 32 18 46 19 67 20 138 21 92 22 112 23 131 24 39 25 113 26 129 27 40 28 50 29 74 30 60 31 130 32 137 33 64 34 114 35 37 36 144 37 66 38 63 39 83 40 90 41 97 42 100 43 90 44 134 45 41 46 150 47 62 48 101 49 87;
param u := 0 44 1 30 2 32 3 44 4 41 5 38 6 30 7 29 8 39 9 43 10 36 11 37 12 49 13 29 14 39 15 44 16 50 17 41 18 41 19 50 20 48 21 31 22 48 23 50 24 26 25 35 26 37 27 40 28 40 29 25 30 43 31 30 32 39 33 33 34 39 35 34 36 37 37 27 38 28 39 48 40 33 41 35 42 28 43 43 44 45 45 28 46 44 47 26 48 31 49 38;
param K := 1.28;
param TH := 1000;
param TC := 
0 0 82
1 0 136
2 0 72
3 0 46
4 0 144
5 0 116
6 0 28
7 0 60
8 0 87
9 0 52
10 0 109
11 0 119
12 0 84
13 0 116
14 0 64
15 0 151
16 0 98
17 0 165
18 0 46
19 0 156
20 0 109
21 0 70
22 0 49
23 0 105
24 0 26
0 1 44
1 1 57
2 1 65
3 1 75
4 1 65
5 1 38
6 1 108
7 1 27
8 1 38
9 1 37
10 1 39
11 1 133
12 1 106
13 1 133
14 1 22
15 1 115
16 1 22
17 1 160
18 1 72
19 1 77
20 1 111
21 1 143
22 1 78
23 1 124
24 1 68
0 2 150
1 2 167
2 2 58
3 2 50
4 2 173
5 2 139
6 2 92
7 2 94
8 2 93
9 2 120
10 2 159
11 2 33
12 2 15
13 2 30
14 2 99
15 2 103
16 2 141
17 2 84
18 2 53
19 2 178
20 2 195
21 2 77
22 2 137
23 2 18
24 2 70
0 3 117
1 3 69
2 3 76
3 3 107
4 3 70
5 3 49
6 3 162
7 3 79
8 3 50
9 3 110
10 3 93
11 3 119
12 3 112
13 3 121
14 3 77
15 3 57
16 3 78
17 3 120
18 3 103
19 3 66
20 3 185
21 3 181
22 3 151
23 3 119
24 3 114
0 4 121
1 4 50
2 4 116
3 4 144
4 4 45
5 4 51
6 4 192
7 4 105
8 4 83
9 4 126
10 4 87
11 4 165
12 4 155
13 4 166
14 4 101
15 4 98
16 4 81
17 4 163
18 4 140
19 4 33
20 4 187
21 4 218
22 4 167
23 4 164
24 4 147
0 5 176
1 5 215
2 5 111
3 5 86
4 5 222
5 5 189
6 5 79
7 5 134
8 5 145
9 5 145
10 5 197
11 5 93
12 5 77
13 5 89
14 5 139
15 5 168
16 5 182
17 5 142
18 5 90
19 5 230
20 5 201
21 5 34
22 5 144
23 5 81
24 5 94
0 6 168
1 6 154
2 6 70
3 6 90
4 6 157
5 6 127
6 6 148
7 6 108
8 6 89
9 6 145
10 6 162
11 6 38
12 6 60
13 6 42
14 6 111
15 6 45
16 6 143
17 6 33
18 6 90
19 6 156
20 6 227
21 6 142
22 6 175
23 6 49
24 6 111
0 7 85
1 7 41
2 7 75
3 7 99
4 7 44
5 7 16
6 7 146
7 7 59
8 7 39
9 7 83
10 7 59
11 7 133
12 7 116
13 7 133
14 7 55
15 7 87
16 7 45
17 7 144
18 7 96
19 7 47
20 7 153
21 7 173
22 7 124
23 7 129
24 7 101
0 8 171
1 8 168
2 8 70
3 8 82
4 8 172
5 8 140
6 8 135
7 8 111
8 8 98
9 8 145
10 8 171
11 8 14
12 8 45
13 8 18
14 8 115
15 8 70
16 8 152
17 8 39
18 8 84
19 8 173
20 8 226
21 8 122
22 8 171
23 8 28
24 8 104
0 9 134
1 9 194
2 9 116
3 9 85
4 9 201
5 9 173
6 9 29
7 9 116
8 9 140
9 9 107
10 9 165
11 9 138
12 9 107
13 9 134
14 9 120
15 9 192
16 9 155
17 9 189
18 9 87
19 9 213
20 9 140
21 9 37
22 9 88
23 9 123
24 9 75
0 10 185
1 10 191
2 10 86
3 10 89
4 10 195
5 10 163
6 10 131
7 10 126
8 10 118
9 10 157
10 10 190
11 10 19
12 10 48
13 10 18
14 10 131
15 10 98
16 10 171
17 10 54
18 10 91
19 10 198
20 10 235
21 10 110
22 10 177
23 10 27
24 10 110
0 11 133
1 11 92
2 11 73
3 11 105
4 11 93
5 11 70
6 11 163
7 11 87
8 11 57
9 11 122
10 11 113
11 11 103
12 11 101
13 11 105
14 11 87
15 11 34
16 11 97
17 11 98
18 11 102
19 11 88
20 11 201
21 11 177
22 11 162
23 11 105
24 11 117
0 12 93
1 12 82
2 12 31
3 12 60
4 12 87
5 12 54
6 12 115
7 12 38
8 12 11
9 12 75
10 12 84
11 12 91
12 12 72
13 12 91
14 12 39
15 12 68
16 12 66
17 12 111
18 12 57
19 12 91
20 12 157
21 12 135
22 12 113
23 12 85
24 12 68
0 13 49
1 13 88
2 13 54
3 13 51
4 13 96
5 13 68
6 13 77
7 13 17
8 13 47
9 13 22
10 13 65
11 13 121
12 13 89
13 13 119
14 13 18
15 13 123
16 13 51
17 13 155
18 13 48
19 13 107
20 13 105
21 13 113
22 13 58
23 13 109
24 13 39
0 14 99
1 14 81
2 14 38
3 14 68
4 14 85
5 14 53
6 14 124
7 14 47
8 14 18
9 14 84
10 14 88
11 14 91
12 14 77
13 14 92
14 14 48
15 14 60
16 14 70
17 14 107
18 14 65
19 14 88
20 14 165
21 14 143
22 14 122
23 14 88
24 14 77
0 15 147
1 15 104
2 15 81
3 15 113
4 15 105
5 15 84
6 15 173
7 15 99
8 15 70
9 15 135
10 15 126
11 15 102
12 15 105
13 15 104
14 15 99
15 15 25
16 15 111
